Player,Tm,Salary,Cap Hit,Age,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%,TOI,BLK,HIT,FOW,FOL,FO%,Tm_ANA,Tm_ARI,Tm_BOS,Tm_BUF,Tm_CAR,Tm_CBJ,Tm_CGY,Tm_CHI,Tm_COL,Tm_DAL,Tm_DET,Tm_EDM,Tm_FLA,Tm_LAK,Tm_MIN,Tm_MTL,Tm_NJD,Tm_NSH,Tm_NYI,Tm_NYR,Tm_OTT,Tm_PHI,Tm_PIT,Tm_SEA,Tm_SJS,Tm_STL,Tm_TBL,Tm_TOR,Tm_TOT,Tm_VAN,Tm_VEG,Tm_WPG,Tm_WSH,Pos_C,Pos_D,Pos_LW,Pos_RW,,,
Matt Dumba,MIN,7400000,6000000,27,55,7,19,26,9,43,3.9,6,1,0,1,15,4,0,116,6,1288,81,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,
Charlie McAvoy,BOS,7300000,4900000,24,65,8,39,47,18,54,8.4,3,4,1,3,22,17,0,131,6.1,1595,107,130,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,
Nico Hischier,NJD,7250000,7250000,23,60,19,31,50,-6,17,4.7,15,4,0,1,21,8,2,129,14.7,1149,44,44,628,566,52.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,
Marc-Edouard Vlasic,SJS,7250000,7000000,34,61,3,11,14,-15,14,2,3,0,0,0,11,0,0,51,5.9,932,68,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,,,
Kris Letang,PIT,7250000,7250000,34,66,7,53,60,21,45,9.7,5,2,0,2,33,20,0,182,3.8,1697,110,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,
William Karlsson,VEG,7100000,5900000,29,56,10,16,26,-2,8,1.8,7,1,2,0,14,2,0,108,9.3,1035,37,31,443,410,51.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,,,
Clayton Keller,ARI,7000000,7150000,23,67,28,35,63,3,28,6.7,22,5,1,2,28,6,1,177,15.8,1349,31,17,29,39,42.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,
Jake Guentzel,PIT,7000000,6000000,27,64,32,36,68,9,40,7.9,25,7,0,6,23,13,0,221,14.5,1274,35,60,13,11,54.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,
Mathew Barzal,NYI,7000000,7000000,24,59,14,34,48,-2,14,4.5,13,1,0,1,21,13,0,135,10.4,1059,13,30,192,224,46.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,
Zachary Werenski,CBJ,7000000,5000000,24,60,10,32,42,-13,22,4.9,6,4,0,2,22,9,1,196,5.1,1557,87,29,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,
Nathan MacKinnon,COL,6850000,6300000,26,53,22,50,72,15,34,7.5,16,6,0,5,32,18,0,247,8.9,1119,35,48,305,358,46,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,
David Pastrnak,BOS,6800000,6666667,25,68,38,33,71,11,20,9,24,14,0,9,23,10,0,302,12.6,1268,12,63,6,13,31.6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,
Dylan Larkin,DET,6750000,6100000,25,64,29,35,64,-9,43,6.7,23,6,0,4,28,7,0,190,15.3,1257,22,62,569,516,52.4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,
Mark Scheifele,WPG,6750000,6125000,28,64,26,39,65,-19,23,5.8,19,7,0,3,27,12,0,151,17.2,1367,47,35,412,403,50.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,,,
Johnny Gaudreau,CGY,6750000,6750000,28,68,32,60,92,48,22,11.8,26,6,0,8,45,15,0,223,14.3,1248,6,9,1,0,100,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,
Pierre-Luc Dubois,WPG,6650000,5000000,23,69,25,26,51,1,98,5.2,12,13,0,5,24,2,0,203,12.3,1316,35,97,459,507,47.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,,,
Nikolaj Ehlers,WPG,6500000,6000000,25,50,22,19,41,10,16,4.9,20,2,0,2,15,4,0,197,11.2,913,20,30,1,1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,,,
Jean-Gabriel Pageau,NYI,6500000,5000000,29,66,13,20,33,3,28,2.9,9,3,1,0,15,3,2,108,12,1157,41,142,619,499,55.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,
Vincent Trocheck,CAR,6250000,4750000,28,69,18,28,46,17,72,4.8,12,6,0,3,22,6,0,136,13.2,1242,40,156,590,502,54,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,
Cam Fowler,ANA,6250000,6500000,30,67,8,28,36,-9,12,5.7,2,6,0,0,18,10,0,112,7.1,1624,100,33,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,
Jason Zucker,PIT,6250000,5500000,30,32,6,8,14,3,10,1.2,4,2,0,0,8,0,0,89,6.7,488,15,52,4,10,28.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,
Jesperi Kotkaniemi,CAR,6100015,6100035,21,63,11,15,26,5,37,2.5,11,0,0,3,11,4,0,79,13.9,751,15,67,159,151,51.3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,
Gabriel Landeskog,COL,6000000,7000000,29,51,30,29,59,27,78,7.6,23,7,0,5,21,8,0,150,20,1036,34,94,241,198,54.9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,
Erik Johnson,COL,6000000,6000000,33,69,6,15,21,19,22,4.5,5,0,1,1,13,1,1,123,4.9,1198,117,148,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,
Logan Couture,SJS,6000000,8000000,32,63,22,26,48,-8,18,5,15,5,2,3,17,8,1,166,13.3,1193,46,81,508,534,48.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,,,
John Klingberg,DAL,6000000,4250000,29,61,5,35,40,-15,30,5,4,1,0,2,19,16,0,115,4.3,1365,62,42,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,
Jordan Staal,CAR,6000000,6000000,33,67,8,16,24,6,16,1.5,7,1,0,1,15,1,0,123,6.5,1123,28,189,641,478,57.3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,
Jaccob Slavin,CAR,6000000,5300000,27,67,3,34,37,24,10,7.4,2,1,0,0,26,6,2,133,2.3,1584,109,43,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,
Filip Forsberg,NSH,6000000,6000000,27,55,38,29,67,12,18,8.8,31,7,0,8,17,12,0,167,22.8,986,38,85,1,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,
Gustav Nyquist,CBJ,6000000,5500000,32,69,17,24,41,-13,20,3,10,3,4,0,21,3,0,98,17.3,1200,44,35,12,15,44.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,
J.T. Miller,VAN,6000000,5250000,28,68,29,53,82,5,39,8.9,22,7,0,6,25,26,2,181,16,1427,46,152,544,478,53.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,,,
Nate Schmidt,WPG,6000000,5950000,30,66,4,27,31,-1,10,4.3,3,1,0,1,16,10,1,97,4.1,1337,89,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,,,
James van Riemsdyk,PHI,6000000,7000000,32,69,17,13,30,-32,23,1.8,10,7,0,4,13,0,0,149,11.4,1112,21,27,8,10,44.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,
