Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%
435,Tyson Jost\jostty01,23,TOT,C,69,7,10,17,0,34,0.6,7,0,0,1,9,0,1,84,8.3,882,12:47,31,51,148,223,39.9
435,Tyson Jost\jostty01,23,COL,C,59,6,8,14,1,30,0.5,6,0,0,0,7,0,1,76,7.9,756,12:49,29,44,118,182,39.3
435,Tyson Jost\jostty01,23,MIN,C,10,1,2,3,-1,4,0.1,1,0,0,1,2,0,0,8,12.5,126,12:36,2,7,30,41,42.3
436,Olli Juolevi\juoleol01,23,TOT,D,15,0,0,0,-1,4,0,0,0,0,0,0,0,0,15,0,197,13:09,7,13,0,0,
436,Olli Juolevi\juoleol01,23,FLA,D,10,0,0,0,0,2,0,0,0,0,0,0,0,0,9,0,125,12:27,6,9,0,0,
436,Olli Juolevi\juoleol01,23,DET,D,5,0,0,0,-1,2,0,0,0,0,0,0,0,0,6,0,73,14:31,1,4,0,0,
437,Noah Juulsen\juulsno01,24,VAN,D,8,0,2,2,-4,0,0,0,0,0,0,2,0,0,6,0,118,14:42,11,20,0,0,
438,Nazem Kadri\kadrina01,31,COL,C,65,26,57,83,18,71,8.8,18,8,0,6,37,20,0,228,11.4,1249,19:13,16,51,544,545,50
439,Kaapo Kakko\kakkoka01,20,NYR,RW,37,5,9,14,7,10,1.2,4,1,0,1,8,1,0,56,8.9,592,16:00,13,5,1,6,14.3
440,Arthur Kaliyev\kaliyar01,20,LAK,RW,70,13,10,23,-3,22,2.1,7,6,0,2,7,3,0,173,7.5,901,12:52,11,24,0,0,
441,Wyatt Kalynuk\kalynwy01,24,CHI,D,5,0,0,0,-3,2,-0.1,0,0,0,0,0,0,0,1,0,60,12:00,0,9,0,0,
442,David Kampf\kampfda01,27,TOR,C,68,9,13,22,6,18,1.4,7,0,2,1,11,0,2,82,11,1027,15:06,21,66,512,450,53.2
443,Evander Kane\kaneev01,30,EDM,LW,31,16,12,28,16,36,3.7,11,3,2,1,11,1,0,101,15.8,607,19:36,8,107,6,10,37.5
444,Patrick Kane\kanepa01,33,CHI,RW,66,22,58,80,-16,16,7.2,14,8,0,2,38,20,0,246,8.9,1428,21:39,21,11,4,4,50
445,Kasperi Kapanen\kapanka01,25,PIT,RW,68,11,19,30,0,12,2.3,11,0,0,2,14,5,0,118,9.3,1027,15:06,18,93,5,7,41.7
446,Kirill Kaprizov\kapriki01,24,MIN,LW,67,39,46,85,21,26,10.2,29,10,0,4,33,13,0,240,16.3,1267,18:55,25,69,2,3,40
447,Erik Karlsson\karlser01,31,SJS,D,45,10,23,33,-11,14,5,10,0,0,2,14,9,0,106,9.4,1050,23:20,43,16,0,0,
448,William Karlsson\karlswi01,29,VEG,C,56,10,16,26,-2,8,1.8,7,1,2,0,14,2,0,108,9.3,1035,18:29,37,31,443,410,51.9
449,Ondrej Kase\kaseon01,26,TOR,RW,50,14,13,27,4,14,2.9,9,4,1,2,9,4,0,119,11.8,699,13:59,32,29,2,9,18.2
450,Zack Kassian\kassiza01,31,EDM,RW,46,5,11,16,-1,47,1,3,2,0,1,11,0,0,48,10.4,560,12:10,6,133,2,3,40
451,Mark Kastelic\kastema01,22,OTT,C,9,0,1,1,-2,2,-0.1,0,0,0,0,1,0,0,1,0,80,8:56,6,34,42,23,64.6
452,Boris Katchouk\katchbo01,23,TOT,LW,47,2,4,6,-3,29,-0.1,2,0,0,1,4,0,0,45,4.4,469,9:58,14,113,7,11,38.9
452,Boris Katchouk\katchbo01,23,TBL,LW,38,2,4,6,3,25,0.2,2,0,0,1,4,0,0,36,5.6,373,9:49,11,98,7,10,41.2
452,Boris Katchouk\katchbo01,23,CHI,LW,9,0,0,0,-6,4,-0.4,0,0,0,0,0,0,0,9,0,96,10:38,3,15,0,1,0
453,Martin Kaut\kautma01,22,COL,RW,6,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,53,8:49,3,6,0,0,
454,Joey Keane\keanejo01,22,CAR,D,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,14,13:38,0,1,0,0,
