,Player,Tm,Salary,Cap Hit,Rk,Age,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%,TOI,BLK,HIT,FOW,FOL,FO%,Pos_C,Pos_D,Pos_F,Pos_LW,Pos_RW,Pos_W,Tm_ANA,Tm_ARI,Tm_BOS,Tm_BUF,Tm_CAR,Tm_CBJ,Tm_CGY,Tm_CHI,Tm_COL,Tm_DAL,Tm_DET,Tm_EDM,Tm_FLA,Tm_LAK,Tm_MIN,Tm_MTL,Tm_NJD,Tm_NSH,Tm_NYI,Tm_NYR,Tm_OTT,Tm_PHI,Tm_PIT,Tm_SEA,Tm_SJS,Tm_STL,Tm_TBL,Tm_TOR,Tm_TOT,Tm_VAN,Tm_VEG,Tm_WPG,Tm_WSH
160,Alex Iafallo,LAK,"3,500,000","4,000,000",403.0,28.0,69.0,15.0,18.0,33.0,4.0,4.0,3.0,12.0,2.0,1.0,2.0,14.0,3.0,1.0,189.0,7.9,1283.0,51.0,43.0,13.0,12.0,52.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161,Oskar Sundqvist,DET,"3,500,000","2,750,000",878.0,27.0,32.0,4.0,8.0,12.0,1.3333333333333333,8.0,0.7999999999999999,4.0,0.0,0.0,0.0,8.0,0.0,0.0,38.0,15.700000000000001,436.0,16.0,38.666666666666664,44.0,55.333333333333336,39.56666666666667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
162,Chris Kreider,NYR,"3,500,000","6,500,000",482.0,30.0,70.0,46.0,19.0,65.0,16.0,22.0,9.4,19.0,24.0,3.0,9.0,13.0,6.0,0.0,221.0,20.8,1313.0,36.0,129.0,62.0,58.0,51.7,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
163,Neal Pionk,WPG,"3,500,000","5,875,000",711.0,26.0,65.0,3.0,27.0,30.0,8.0,40.0,4.8,2.0,1.0,0.0,1.0,18.0,9.0,0.0,123.0,2.4,1395.0,79.0,160.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
164,Bryan Rust,PIT,"3,500,000","3,500,000",777.0,29.0,48.0,22.0,34.0,56.0,13.0,12.0,6.5,13.0,9.0,0.0,1.0,22.0,12.0,0.0,156.0,14.1,909.0,19.0,31.0,1.0,5.0,16.7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
165,Tyson Barrie,EDM,"3,500,000","4,500,000",42.0,30.0,61.0,6.0,29.0,35.0,3.0,18.0,4.8,3.0,3.0,0.0,0.0,13.0,15.0,1.0,126.0,4.8,1168.0,57.0,22.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
166,Nikita Kucherov,TBL,"3,500,000","9,500,000",485.0,28.0,33.0,12.0,31.0,43.0,-7.0,16.0,4.0,7.0,5.0,0.0,0.0,17.0,14.0,0.0,116.0,10.3,661.0,7.0,23.0,1.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
167,Jesper Bratt,NJD,"3,450,000","2,750,000",98.0,23.0,64.0,22.0,43.0,65.0,1.0,16.0,6.7,19.0,3.0,0.0,6.0,28.0,15.0,0.0,178.0,12.4,1112.0,24.0,22.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
168,David Perron,STL,"3,412,500","4,000,000",696.0,33.0,54.0,23.0,24.0,47.0,10.0,42.0,5.4,14.0,9.0,0.0,2.0,13.0,11.0,0.0,145.0,15.9,921.0,10.0,70.0,1.0,3.0,25.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
169,Patrice Bergeron,BOS,"3,375,000","6,875,000",66.0,36.0,60.0,18.0,34.0,52.0,20.0,26.0,5.8,10.0,8.0,0.0,3.0,18.0,14.0,2.0,238.0,7.6,1096.0,38.0,68.0,832.0,499.0,62.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
170,Hampus Lindholm,BOS,"3,375,000","2,602,778",535.0,28.0,44.0,3.3333333333333335,13.333333333333334,16.666666666666668,2.6666666666666665,29.333333333333332,3.4,2.6666666666666665,0.6666666666666666,0.0,0.6666666666666666,10.0,2.6666666666666665,0.6666666666666666,86.66666666666667,2.6666666666666665,992.6666666666666,55.333333333333336,42.666666666666664,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
171,Mark Giordano,TOR,"3,375,000","3,375,000",310.0,38.0,40.666666666666664,4.666666666666667,12.666666666666666,17.333333333333332,-12.666666666666666,31.333333333333332,2.066666666666667,3.3333333333333335,0.0,1.3333333333333333,0.0,6.666666666666667,6.0,0.0,84.66666666666667,11.799999999999999,867.3333333333334,76.66666666666667,38.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0
172,Olli Maatta,LAK,"3,333,361","3,333,225",550.0,27.0,56.0,1.0,6.0,7.0,17.0,10.0,3.1,1.0,0.0,0.0,0.0,6.0,0.0,0.0,56.0,1.8,1028.0,82.0,57.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
173,Anthony Cirelli,TBL,"3,300,000","4,800,000",151.0,24.0,63.0,15.0,23.0,38.0,17.0,64.0,3.8,11.0,3.0,1.0,3.0,18.0,5.0,0.0,124.0,12.1,1184.0,59.0,66.0,373.0,421.0,47.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
174,Mikhail Sergachev,TBL,"3,300,000","4,800,000",811.0,23.0,64.0,6.0,27.0,33.0,12.0,46.0,5.9,5.0,1.0,0.0,1.0,21.0,5.0,1.0,123.0,4.9,1447.0,102.0,106.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
175,Jonathan Huberdeau,FLA,"3,300,000","5,900,000",395.0,28.0,69.0,24.0,73.0,97.0,27.0,42.0,9.8,17.0,4.0,3.0,4.0,45.0,26.0,2.0,188.0,12.8,1332.0,25.0,87.0,16.0,35.0,31.4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176,Victor Olofsson,BUF,"3,250,000","3,050,000",667.0,26.0,60.0,15.0,20.0,35.0,-20.0,6.0,2.8,11.0,4.0,0.0,5.0,17.0,3.0,0.0,137.0,10.9,924.0,15.0,7.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
177,Will Butcher,BUF,"3,100,000","2,822,764",118.0,27.0,35.0,2.0,6.0,8.0,-10.0,0.0,0.9,2.0,0.0,0.0,0.0,4.0,2.0,0.0,34.0,5.9,583.0,30.0,10.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178,Tom Wilson,WSH,"3,100,000","5,166,666",957.0,27.0,65.0,21.0,26.0,47.0,9.0,85.0,5.1,15.0,4.0,2.0,4.0,19.0,6.0,1.0,125.0,16.8,1229.0,41.0,195.0,19.0,21.0,47.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
179,Chandler Stephenson,VEG,"3,025,000","2,750,000",864.0,27.0,68.0,17.0,37.0,54.0,2.0,26.0,4.9,13.0,3.0,1.0,3.0,28.0,8.0,1.0,102.0,16.7,1317.0,40.0,59.0,536.0,510.0,51.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
180,Pavel Zacha,NJD,"3,000,000","2,250,000",965.0,24.0,57.0,13.0,15.0,28.0,-17.0,14.0,1.8,9.0,4.0,0.0,1.0,11.0,4.0,0.0,122.0,10.7,955.0,16.0,65.0,132.0,131.0,50.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
181,Ryan Graves,NJD,"3,000,000","3,166,667",322.0,26.0,64.0,6.0,21.0,27.0,-13.0,24.0,3.6,6.0,0.0,0.0,0.0,21.0,0.0,0.0,101.0,5.9,1325.0,115.0,77.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
182,Joel Eriksson Ek,MIN,"3,000,000","5,250,000",251.0,25.0,63.0,21.0,19.0,40.0,16.0,24.0,4.0,11.0,10.0,0.0,3.0,15.0,4.0,0.0,183.0,11.5,1172.0,37.0,118.0,567.0,654.0,46.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
183,Loui Eriksson,ARI,"3,000,000","6,000,000",250.0,36.0,60.0,2.0,15.0,17.0,-12.0,6.0,0.1,1.0,0.0,1.0,0.0,14.0,1.0,0.0,66.0,3.0,759.0,15.0,11.0,14.0,9.0,60.9,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
184,Radek Faksa,DAL,"3,000,000","3,250,000",257.0,28.0,63.0,4.0,11.0,15.0,-17.0,46.0,-0.3,3.0,1.0,0.0,0.0,11.0,0.0,0.0,72.0,5.6,999.0,58.0,108.0,312.0,264.0,54.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
185,Roope Hintz,DAL,"3,000,000","3,150,000",381.0,25.0,66.0,30.0,28.0,58.0,18.0,20.0,7.4,21.0,7.0,2.0,6.0,14.0,13.0,1.0,178.0,16.9,1186.0,40.0,66.0,283.0,259.0,52.2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
186,Ryan Getzlaf,ANA,"3,000,000","3,000,000",309.0,36.0,49.0,3.0,28.0,31.0,-11.0,23.0,1.6,1.0,2.0,0.0,1.0,20.0,8.0,0.0,95.0,3.2,918.0,49.0,78.0,479.0,420.0,53.3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
187,Elias Pettersson,VAN,"3,000,000","7,350,000",704.0,23.0,68.0,22.0,27.0,49.0,-2.0,12.0,5.0,12.0,8.0,2.0,3.0,15.0,12.0,0.0,146.0,15.1,1246.0,38.0,40.0,212.0,273.0,43.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
188,Jake McCabe,CHI,"3,000,000","4,000,000",586.0,28.0,63.0,3.0,15.0,18.0,-23.0,21.0,2.0,3.0,0.0,0.0,0.0,15.0,0.0,0.0,64.0,4.7,1283.0,143.0,139.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
189,Dylan DeMelo,WPG,"3,000,000","3,000,000",201.0,28.0,64.0,1.0,10.0,11.0,5.0,26.0,2.4,0.0,0.0,1.0,0.0,9.0,0.0,1.0,63.0,1.6,1146.0,90.0,93.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
190,Rasmus Dahlin,BUF,"3,000,000","6,000,000",183.0,21.0,68.0,9.0,34.0,43.0,-20.0,58.0,5.4,7.0,2.0,0.0,2.0,19.0,15.0,0.0,146.0,6.2,1629.0,76.0,100.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
191,Evgeny Kuznetsov,WSH,"3,000,000","7,800,000",495.0,29.0,66.0,22.0,44.0,66.0,6.0,30.0,6.8,12.0,8.0,2.0,4.0,27.0,15.0,2.0,174.0,12.6,1365.0,22.0,32.0,430.0,556.0,43.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
192,T.J. Oshie,WSH,"3,000,000","5,750,000",669.0,35.0,31.0,8.0,12.0,20.0,-10.0,10.0,1.5,5.0,3.0,0.0,1.0,7.0,4.0,1.0,47.0,17.0,545.0,18.0,59.0,57.0,70.0,44.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
193,Lars Eller,WSH,"3,000,000","3,500,000",245.0,32.0,59.0,9.0,14.0,23.0,-9.0,28.0,1.3,9.0,0.0,0.0,1.0,12.0,2.0,0.0,86.0,10.5,964.0,31.0,74.0,420.0,425.0,49.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
194,John Carlson,WSH,"3,000,000","8,000,000",126.0,32.0,65.0,11.0,44.0,55.0,8.0,18.0,8.5,7.0,4.0,0.0,1.0,26.0,15.0,3.0,156.0,7.1,1548.0,90.0,56.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
195,Craig Smith,BOS,"3,000,000","3,100,000",838.0,32.0,60.0,15.0,16.0,31.0,4.0,28.0,3.2,15.0,0.0,0.0,1.0,13.0,3.0,0.0,155.0,9.7,869.0,23.0,79.0,2.0,8.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
196,Sam Reinhart,FLA,"3,000,000","6,500,000",750.0,26.0,66.0,24.0,41.0,65.0,24.0,13.0,6.9,14.0,10.0,0.0,4.0,27.0,12.0,2.0,163.0,14.7,1166.0,27.0,44.0,156.0,162.0,49.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
197,MacKenzie Weegar,FLA,"3,000,000","3,250,000",948.0,28.0,69.0,7.0,31.0,38.0,37.0,65.0,6.8,5.0,1.0,1.0,2.0,29.0,1.0,1.0,172.0,4.1,1631.0,141.0,164.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198,Morgan Rielly,TOR,"3,000,000","5,000,000",754.0,27.0,68.0,9.0,49.0,58.0,11.0,32.0,8.1,7.0,2.0,0.0,3.0,27.0,19.0,3.0,186.0,4.8,1631.0,65.0,67.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
199,Denis Gurianov,DAL,"2,900,000","2,550,000",338.0,24.0,63.0,11.0,19.0,30.0,4.0,16.0,2.8,7.0,4.0,0.0,2.0,16.0,3.0,0.0,131.0,8.4,902.0,29.0,62.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,Ian Cole,CAR,"2,900,000","2,900,000",160.0,32.0,65.0,2.0,16.0,18.0,13.0,72.0,4.1,2.0,0.0,0.0,1.0,15.0,0.0,1.0,69.0,2.9,1118.0,86.0,93.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201,Patrick Kane,CHI,"2,900,000","10,500,000",444.0,33.0,66.0,22.0,58.0,80.0,-16.0,16.0,7.2,14.0,8.0,0.0,2.0,38.0,20.0,0.0,246.0,8.9,1428.0,21.0,11.0,4.0,4.0,50.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202,Jonathan Toews,CHI,"2,900,000","10,500,000",909.0,33.0,59.0,10.0,19.0,29.0,-10.0,33.0,1.9,6.0,3.0,1.0,1.0,16.0,3.0,0.0,106.0,9.4,1036.0,17.0,20.0,641.0,462.0,58.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
203,Blake Coleman,CGY,"2,900,000","4,900,000",161.0,30.0,67.0,13.0,16.0,29.0,13.0,50.0,2.8,12.0,0.0,1.0,1.0,15.0,0.0,1.0,183.0,7.1,1014.0,41.0,132.0,2.0,16.0,11.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
204,David Savard,MTL,"2,800,000","3,500,000",792.0,31.0,49.0,3.0,10.0,13.0,-16.0,30.0,1.2,3.0,0.0,0.0,0.0,9.0,0.0,1.0,51.0,5.9,1020.0,106.0,113.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
205,Valeri Nichushkin,COL,"2,800,000","2,500,000",643.0,26.0,51.0,19.0,21.0,40.0,19.0,12.0,4.6,12.0,5.0,2.0,5.0,17.0,4.0,0.0,141.0,13.5,950.0,24.0,75.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
206,Travis Hamonic,OTT,"2,750,000","3,000,000",350.0,31.0,19.333333333333332,2.0,2.6666666666666665,4.666666666666667,3.3333333333333335,5.333333333333333,1.3333333333333333,2.0,0.0,0.0,0.0,2.6666666666666665,0.0,0.0,39.333333333333336,3.6666666666666665,353.3333333333333,42.0,31.333333333333332,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0
